State,ConfirmedCases,Rank
California,1259126.0,1.0
Texas,1237189.0,2.0
Florida,999319.0,3.0
Illinois,726304.0,4.0
New York,656413.0,5.0
Georgia,471563.0,6.0
Ohio,421063.0,7.0
Wisconsin,411730.0,8.0
Michigan,388942.0,9.0
Tennessee,371073.0,10.0
Pennsylvania,369016.0,11.0
New Jersey,368086.0,12.0
North Carolina,364512.0,13.0
Indiana,338977.0,14.0
Arizona,326817.0,15.0
Missouri,321958.0,16.0
Minnesota,318763.0,17.0
Colorado,270659.0,18.0
Alabama,249524.0,19.0
Virginia,237835.0,20.0
Louisiana,232414.0,21.0
Iowa,230631.0,22.0
Massachusetts,226132.0,23.0
South Carolina,217487.0,24.0
Maryland,198370.0,25.0
Oklahoma,197745.0,26.0
Utah,195706.0,27.0
Kentucky,179041.0,28.0
Washington,171962.0,29.0
Kansas,159359.0,30.0
Arkansas,157359.0,31.0
Mississippi,153270.0,32.0
Nevada,152171.0,33.0
Nebraska,128407.0,34.0
Connecticut,117295.0,35.0
Idaho,101698.0,36.0
New Mexico,97095.0,37.0
North Dakota,80755.0,38.0
South Dakota,80464.0,39.0
Oregon,75431.0,40.0
Montana,62198.0,41.0
Rhode Island,56723.0,42.0
West Virginia,47842.0,43.0
Delaware,35654.0,44.0
Wyoming,33305.0,45.0
Alaska,32598.0,46.0
Washington DC,21552.0,47.0
New Hampshire,21033.0,48.0
Hawaii,18223.0,49.0
Maine,11757.0,50.0
Vermont,4172.0,51.0
